Provider Number,Medicare Census,Medicaid Census,Other Census,Total Residents,Hospital Based,Ownership Type,Number of AIDS Beds,Number of Alzheimer's Disease Beds,Number of Dialysis Beds,Number of Disabled Children/Young Adult Beds,Number of Head Trauma Beds,Number of Hospice Beds,Number of Huntington's Disease Beds,Number of Ventilator Beds,Number of Other Specialized Rehab Beds,Overall Rating,Latitude,Longitude,low_rated
015009,4,37,9,50,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,34.5149,-87.736,0
015010,6,59,16,81,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,33.1637,-86.254,0
015012,6,24,4,34,No,Government - County,0,0,0,0,0,0,0,0,0,4.0,34.6611,-86.047,0
015014,5,66,6,77,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,3.0,33.5595,-86.722,0
015015,4,66,25,95,No,For Profit - Individual,0,15,0,0,0,0,0,0,0,1.0,33.3222,-87.034,1
015016,26,67,31,124,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,34.8035,-86.977,0
015019,2,76,20,98,No,For Profit - LLC,0,35,0,0,0,0,0,0,0,2.0,32.5582,-86.323,1
015023,1,66,14,81,No,For Profit - Corporation,0,58,0,0,0,0,0,0,0,4.0,32.8548,-86.625,0
015024,19,88,45,152,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,34.8053,-86.991,0
015027,4,61,50,115,No,For Profit - Corporation,0,15,0,0,0,0,0,0,0,1.0,32.5584,-86.221,1
015028,8,52,5,65,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,34.7419,-87.706,0
015031,42,83,63,188,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,34.8082,-87.687,0
015032,9,74,31,114,No,For Profit - Corporation,0,35,0,0,0,0,0,0,29,1.0,30.4269,-87.685,1
015034,11,49,17,77,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,3.0,33.2375,-87.565,0
015035,7,80,12,99,No,For Profit - Corporation,0,20,0,0,0,0,0,0,0,5.0,31.1079,-87.071,0
015040,4,80,24,108,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,32.3595,-86.279,1
015042,6,79,14,99,No,For Profit - Corporation,0,25,0,0,0,0,0,0,0,3.0,32.4948,-88.286,0
015044,4,36,2,42,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.4878,-86.956,1
015045,0,47,18,65,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,3.0,32.8251,-85.171,0
015047,3,97,9,109,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,33.5335,-86.809,1
015048,8,64,13,85,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,34.1921,-86.847,1
015049,8,31,28,67,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,36,3.0,30.613,-87.907,0
015050,3,35,14,52,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,33.4296,-86.942,1
015053,9,34,23,66,No,Government - County,0,0,0,0,0,0,0,0,0,5.0,33.6363,-85.588,0
015060,1,57,3,61,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,33.4307,-86.941,1
015063,6,55,29,90,No,For Profit - Corporation,0,24,0,0,0,0,0,0,0,2.0,34.2199,-86.162,1
015065,15,83,40,138,No,For Profit - Corporation,0,16,0,0,0,0,0,0,0,1.0,32.4796,-86.429,1
015066,17,22,4,43,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,34.5129,-87.719,0
015067,9,50,7,66,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,34.7269,-87.679,0
015071,5,23,7,35,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,34.5101,-87.72,1
015073,28,111,48,187,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,5.0,34.0618,-86.771,0
015075,9,84,60,153,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,2.0,34.3852,-86.912,1
015076,10,102,85,197,No,Non-Profit - Nonprofit Corporation,0,30,0,0,0,0,0,0,0,3.0,33.5234,-86.727,0
015083,7,68,15,90,No,For Profit - Corporation,0,0,0,0,0,0,0,0,20,2.0,31.4291,-86.076,1
015084,10,64,18,92,No,For Profit - Corporation,0,18,0,0,0,0,0,0,0,3.0,32.3949,-87.07,0
015089,4,50,6,60,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,31.4221,-86.945,0
015091,7,138,16,161,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,33.6144,-86.768,1
015097,0,57,11,68,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,33.4969,-86.8,1
015098,4,50,36,90,No,Non-Profit - Nonprofit Corporation,0,0,0,0,0,0,0,0,0,3.0,30.6722,-88.052,0
015100,6,112,24,142,No,For Profit - Corporation,0,22,0,0,0,0,0,0,0,4.0,30.6526,-88.101,0
015101,0,41,2,43,No,For Profit - Corporation,50,50,50,50,50,50,50,0,50,2.0,34.0348,-86.319,1
015103,19,85,38,142,No,For Profit - Corporation,0,0,0,0,0,0,0,0,20,3.0,30.6908,-88.088,0
015104,0,51,5,56,No,For Profit - Corporation,0,16,0,0,0,0,0,0,0,5.0,32.6155,-87.306,0
015109,2,80,9,91,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,33.5284,-86.811,1
015111,18,73,21,112,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,4.0,34.7217,-86.585,0
015112,4,71,10,85,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,3.0,32.4326,-85.692,0
015113,17,109,8,134,No,For Profit - Corporation,0,49,0,0,0,0,0,0,0,1.0,34.5866,-86.97,1
015114,1,56,31,88,No,For Profit - Individual,0,0,0,0,0,0,0,0,0,2.0,33.8259,-87.278,1
015115,4,89,15,108,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.7616,-87.186,1
015116,15,73,21,109,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,1.0,34.6973,-86.571,1
015117,7,65,16,88,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.5106,-86.85,1
015119,10,112,4,126,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,32.4262,-87.047,1
015120,20,70,41,131,No,For Profit - LLC,0,50,0,0,0,0,0,0,0,3.0,33.6315,-85.803,0
015121,0,57,11,68,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,31.0913,-88.242,0
015123,0,67,13,80,Yes,Government - County,0,0,0,0,0,0,0,0,0,5.0,31.4603,-88.235,0
015124,1,42,19,62,Yes,Non-Profit - Other Nonprofit,0,0,0,0,0,0,0,0,0,4.0,33.2767,-85.823,0
015126,10,77,19,106,No,For Profit - Corporation,0,24,0,0,0,0,0,0,0,4.0,33.1603,-85.376,0
015127,18,46,38,102,No,For Profit - Corporation,0,24,0,0,0,0,0,0,0,2.0,34.7154,-86.63,1
015128,18,65,35,118,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,34.4837,-87.286,0
015129,2,62,8,72,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,5.0,31.0161,-87.476,0
015132,25,96,32,153,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,2.0,33.6086,-85.83,1
015133,5,106,23,134,No,For Profit - Corporation,0,0,0,0,0,0,0,0,0,1.0,33.65,-86.798,1
015134,11,84,1,96,No,For Profit - LLC,0,0,0,0,0,0,0,0,0,2.0,33.6347,-86.665,1
015135,4,14,40,58,No,Non-Profit - Nonprofit Corporation,0,25,0,0,0,0,0,0,0,2.0,32.3229,-86.282,1
015136,10,68,15,93,No,For Profit - LLC,0,29,0,0,0,0,0,0,0,1.0,34.3687,-86.91,1
