"Provider Number","Facility Name",City,State,"Zip Code","Certification Date","Medicare Census","Medicaid Census","Other Census","Total Residents","Program Participation Code","Hospital Based","Ownership Type","Multi-Facility Organization","Multi-Facility Organization Name","Number of AIDS Beds","Number of Alzheimer's Disease Beds","Number of Dialysis Beds","Number of Disabled Children/Young Adult Beds","Number of Head Trauma Beds","Number of Hospice Beds","Number of Huntington's Disease Beds","Number of Ventilator Beds","Number of Other Specialized Rehab Beds","Organized Residents' Group","Organized Family Member Group","Facility Conducts Experimental Research","Continuing Care Retirement Community (CCRC)","7 Day RN Waiver Date","7 Day RN Hrs Waived Per Week","24 Hr Licensed Nursing Waiver Date","24 Hr Licensed Nursing Hrs Waived Per Week","Nurse Aide Training and Competency Evaluation Program"
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,2023-03-02,4,37,9,50,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015010,"COOSA VALLEY HEALTHCARE CENTER",SYLACAUGA,AL,35150,2022-04-09,6,59,16,81,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015012,"HIGHLANDS HEALTH AND REHAB",SCOTTSBORO,AL,35768,2022-03-24,6,24,4,34,"SNF/NF Dual Certification",No,"Government - County",Yes,"HH HEALTH SYSTEM JACKSON LLC",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015014,"EASTVIEW REHABILITATION & HEALTHCARE CENTER",BIRMINGHAM,AL,35206,2023-09-13,5,66,6,77,"SNF/NF Dual Certification",No,"For Profit - Individual",Yes,"BALL HEALTHCARE SERVICES",0,0,0,0,0,0,0,0,0,No,No,No,No,"",0,"",0,No
015015,"PLANTATION MANOR NURSING HOME","MC CALLA",AL,35111,2020-03-05,4,66,25,95,"SNF/NF Dual Certification",No,"For Profit - Individual",No,"",0,15,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015016,"ATHENS HEALTH AND REHABILITATION LLC",ATHENS,AL,35611,2022-04-14,26,67,31,124,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"NORTHPORT HEALTH SERVICES",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015019,"MERRY WOOD LODGE",ELMORE,AL,36025,2024-09-01,2,76,20,98,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"GENESIS HEALTHCARE SERVICES",0,35,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015023,"HATLEY HEALTH CARE INC",CLANTON,AL,35045,2023-06-15,1,66,14,81,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,58,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,Yes
015024,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",ATHENS,AL,35611,2020-02-13,19,88,45,152,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015027,"WETUMPKA HEALTH AND REHABILITATION, LLC",WETUMPKA,AL,36092,2023-12-07,4,61,50,115,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"NHS Management",0,15,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015028,"KELLER LANDING",TUSCUMBIA,AL,35674,2022-02-24,8,52,5,65,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015031,"MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION",FLORENCE,AL,35631,2019-09-05,42,83,63,188,"SNF/NF - Medicare/Medicaid",No,"For Profit - LLC",Yes,"Preston Health Services",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015032,"DIVERSICARE OF FOLEY",FOLEY,AL,36535,2023-06-19,9,74,31,114,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,DIVERSICARE,0,35,0,0,0,0,0,0,29,Yes,No,No,No,"",0,"",0,No
015034,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",NORTHPORT,AL,35473,2022-04-14,11,49,17,77,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"NHS MANAGEMENT",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015035,"WEST GATE VILLAGE",BREWTON,AL,36427,2022-03-09,7,80,12,99,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"CROWNE HEALTHCARE",0,20,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,Yes
015040,"DIVERSICARE OF MONTGOMERY",MONTGOMERY,AL,36106,2023-04-05,4,80,24,108,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,Diversicare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015042,"SUMTER HEALTH AND REHABILITATION, L L C",YORK,AL,36925,2022-04-21,6,79,14,99,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"NORTHPORT MANAGEMENT",0,25,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,Yes
015044,"CAREGIVERS OF PLEASANT GROVE, INC","PLEASANT GROVE",AL,35127,2021-03-11,4,36,2,42,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015045,"EAMC LANIER NURSING HOME",VALLEY,AL,36854,2021-08-19,0,47,18,65,"SNF/NF Dual Certification",No,"Non-Profit - Nonprofit Corporation",No,"",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,Yes
015047,"NORTHWAY HEALTH AND REHABILITATION, LLC",BIRMINGHAM,AL,35234,2024-04-17,3,97,9,109,"SNF/NF Dual Certification",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015048,"CULLMAN HEALTH CARE CENTER",CULLMAN,AL,35055,2023-10-19,8,64,13,85,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"VENZA CARE MANAGEMENT",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015049,"EASTERN SHORE REHABILITATION AND HEALTH CENTER",DAPHNE,AL,36526,2021-03-26,8,31,28,67,"SNF/NF Dual Certification",No,"Non-Profit - Nonprofit Corporation",Yes,"NOLAND HEALTH SERVICES",0,0,0,0,0,0,0,0,36,Yes,No,No,No,"",0,"",0,No
015050,"OAK CREST HEALTH & WELLNESS",BESSEMER,AL,35020,2023-02-12,3,35,14,52,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,NA,0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015053,"CLEBURNE COUNTY NURSING HOME",HEFLIN,AL,36264,2022-03-11,9,34,23,66,"SNF/NF Dual Certification",No,"Government - County",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015060,"RIDGEWAY REHABILITATION & SENIOR LIVING",BESSEMER,AL,35020,2025-01-09,1,57,3,61,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"ARABELLA HEALTHCARE MANAGEMENT",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015063,"DIVERSICARE OF BOAZ",BOAZ,AL,35957,2019-09-19,6,55,29,90,"SNF/NF - Medicare/Medicaid",No,"For Profit - Corporation",Yes,"Diversicare Healthcare Services INC",0,24,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,Yes
015065,"PRATTVILLE HEALTH AND REHABILITATION, LLC",PRATTVILLE,AL,36066,2022-06-10,15,83,40,138,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"NORTHPORT HEALTH SYSTEM",0,16,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015066,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",RUSSELLVILLE,AL,35653,2021-08-26,17,22,4,43,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"ADVANCED HEALTHCARE MANAGEMENGT",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015067,"COTTAGE OF THE SHOALS",TUSCUMBIA,AL,35674,2021-08-05,9,50,7,66,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"GENESIS HEALTHCARE",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
015071,"ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE",RUSSELLVILLE,AL,35653,2022-09-21,5,23,7,35,"SNF/NF Dual Certification",No,"For Profit - LLC",Yes,"THE HUIE GROUP",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,No
015073,"HANCEVILLE NURSING & REHAB CENTER, INC",HANCEVILLE,AL,35077,2019-10-03,28,111,48,187,"SNF/NF - Medicare/Medicaid",No,"For Profit - LLC",No,"",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015075,"SUMMERFORD HEALTH AND REHAB, LLC",FALKVILLE,AL,35622,2023-09-15,9,84,60,153,"SNF/NF Dual Certification",No,"For Profit - Individual",Yes,"ESSENTIAL HEALTH GROUP",0,0,0,0,0,0,0,0,0,Yes,No,No,No,"",0,"",0,Yes
015076,"FAIR HAVEN",BIRMINGHAM,AL,35210,2021-06-17,10,102,85,197,"SNF/NF Dual Certification",No,"Non-Profit - Nonprofit Corporation",Yes,"METHODIST HOMES OF ALABAMA AND NOORTHW",0,30,0,0,0,0,0,0,0,Yes,No,No,Yes,"",0,"",0,Yes
015083,"ELBA NURSING AND REHABILITATION CENTER, LLC",ELBA,AL,36323,2022-05-17,7,68,15,90,"SNF/NF Dual Certification",No,"For Profit - Corporation",No,"",0,0,0,0,0,0,0,0,20,Yes,No,No,No,"",0,"",0,No
015084,"PARK PLACE",SELMA,AL,36701,2022-04-06,10,64,18,92,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,DIVERSICARE,0,18,0,0,0,0,0,0,0,No,No,No,No,"",0,"",0,No
015089,"EVERGREEN NURSING HOME",EVERGREEN,AL,36401,2020-03-12,4,50,6,60,"SNF/NF Dual Certification",No,"For Profit - Corporation",Yes,"Crowne Management",0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,"",0,"",0,No
